date,event
"2018-12-09","国士無双放銃（第5期JPML WRCリーグ最終節）"
"2018-09-01","国士無双和了（第35期後期C2リーグ第1節）"
"2018-07-01","四暗刻和了（麻雀最強戦2018全日本プロ代表決定戦予選）"
"2018-04-22","国士無双和了（第27期麻雀マスターズプロ一次予選）"
"2017-10-14","国士無双和了（第3期JPML WRCリーグ第3節）"
"2017-07-30","第22期特別昇級リーグ3位"
"2016-12-04","大三元和了（第33期後期D2リーグ第4節）"
"2016-09-04","四暗刻和了（第33期後期D2リーグ第1節）"
"2015-09-19","第28期チャンピオンズリーグ4位"
"2015-08-30","第29期新人王戦準優勝"
"2015-08-02","国士無双放銃（第32期前期D3リーグ最終節）"
"2014-09-07","日本プロ麻雀連盟入会（第30期後期）"
"1997-08-03","第5期無双位戦4位"
"?","第?期麻雀学生名人戦3位"
