class,league,count
第33期後期,D2,40
第34期前期,D2,38
第34期後期,D2,37
第35期前期,D2,41
第35期後期,D2,44
第36期前期,D2,43
第36期後期,D2,47
第22期後期,D3,0
第23期前期,D3,0
第23期後期,D3,0
第24期前期,D3,0
第24期後期,D3,0
第25期前期,D3,0
第25期後期,D3,0
第26期前期,D3,30
第26期後期,D3,29
第27期前期,D3,52
第27期後期,D3,44
第28期前期,D3,40
第28期後期,D3,34
第29期前期,D3,49
第29期後期,D3,51
第30期前期,D3,59
第30期後期,D3,56
第31期前期,D3,51
第31期後期,D3,52
第32期前期,D3,47
第32期後期,D3,53
第33期前期,D3,57
第33期後期,D3,59
第34期前期,D3,62
第34期後期,D3,57
第35期前期,D3,50
第35期後期,D3,44
第36期前期,D3,55
第36期後期,D3,58
第22期後期,E,0
第23期前期,E,0
第23期後期,E,0
第24期前期,E,0
第24期後期,E,0
第25期前期,E,0
第25期後期,E,0
第26期前期,E,0
第26期後期,E,0
第27期前期,E,0
第27期後期,E,0
第28期前期,E,0
第28期後期,E,0
第29期前期,E,0
第29期後期,E,9
第30期前期,E,15
第30期後期,E,18
第31期前期,E,0
第31期後期,E,0
第32期前期,E,24
第32期後期,E,21
第33期前期,E,21
第33期後期,E,17
第34期前期,E,17
第34期後期,E,15
第35期前期,E,13
第35期後期,E,17
第36期前期,E,25
第36期後期,E,27
