国,クリック数,表示回数,CTR,掲載順位
日本,3,110,2.73%,9.26
米国,0,10,0%,7.2
ブラジル,0,2,0%,6.5
オーストラリア,0,1,0%,3
ペルー,0,1,0%,6
イギリス,0,1,0%,8
韓国,0,1,0%,10
メキシコ,0,1,0%,10
台湾,0,1,0%,30
