上位のクエリ,クリック数,表示回数,CTR,掲載順位
鳳凰位 歴代,0,5,0%,8.2
知念りほ,0,4,0%,14.25
元氏なづは,0,3,0%,4.67
歴代鳳凰位,0,3,0%,9.67
ryoei,0,2,0%,8.5
ryoei hirano,0,1,0%,1
ryoi,0,1,0%,10
鳳凰戦 順位,0,1,0%,11
白銀プロ,0,1,0%,14
白銀 紗希,0,1,0%,15
後藤真帆,0,1,0%,21
白銀紗希,0,1,0%,23
ryoei mikage,0,1,0%,25
日本プロ麻雀連盟 プロテスト,0,1,0%,27
後藤正博,0,1,0%,40
